session_id,session_Name,session_FromTime,session_ToTime,department_ID,course_ID,book_ID
1,"Open-source stable neural-net",2020-07-07,2021-03-18,378,47,449
2,"Object-based demand-driven solution",2020-03-24,2020-08-29,130,10,699
3,"Right-sized optimal conglomeration",2021-08-20,2020-11-07,42,243,563
4,"Reduced object-oriented installation",2021-06-02,2020-10-12,301,435,374
5,"Customer-focused attitude-oriented hierarchy",2021-04-18,2021-09-17,495,130,774
6,"Fundamental responsive utilisation",2020-05-06,2020-03-30,81,8,891
7,"Stand-alone uniform flexibility",2021-01-06,2021-01-22,241,398,867
9,"Profit-focused real-time standardization",2020-03-30,2020-12-28,328,331,542
10,"Customer-focused responsive solution",2021-06-13,2021-01-25,282,22,4
11,"Persevering tertiary functionalities",2021-02-08,2020-08-11,485,238,215
12,"Robust client-driven internet solution",2021-09-04,2021-07-30,415,209,950
13,"Polarised user-facing encryption",2021-02-05,2021-06-17,441,158,867
14,"Synergistic tangible encryption",2021-02-11,2021-03-04,250,212,130
15,"Triple-buffered non-volatile strategy",2020-06-13,2021-08-30,35,423,716
16,"Multi-lateral dedicated frame",2020-01-07,2021-01-13,17,95,127
17,"Horizontal national conglomeration",2021-01-15,2020-09-11,259,161,416
18,"Stand-alone demand-driven toolset",2020-06-03,2020-04-29,280,103,94
19,"Face to face directional hardware",2021-10-27,2020-04-06,406,328,603
20,"Multi-channelled static parallelism",2020-08-04,2021-06-22,346,26,717
21,"Focused maximized Graphical User Interface",2020-04-20,2021-10-07,10,143,87
22,"Multi-layered client-driven time-frame",2020-04-04,2020-05-19,227,167,205
23,"Expanded motivating collaboration",2020-11-01,2021-03-06,2,198,697
24,"Virtual upward-trending algorithm",2021-05-18,2021-03-13,152,367,971
25,"Versatile actuating paradigm",2020-05-17,2021-03-23,118,55,706
26,"Automated actuating success",2020-10-15,2020-12-16,123,243,584
27,"Advanced logistical toolset",2021-07-09,2021-04-08,329,285,672
28,"Fully-configurable composite ability",2021-05-07,2020-05-09,392,430,872
29,"Polarised impactful superstructure",2021-06-05,2021-03-05,212,242,639
30,"Total user-facing collaboration",2020-05-07,2021-08-18,309,246,138
31,"Function-based national time-frame",2021-08-16,2020-04-25,119,10,856
32,"Decentralized bifurcated utilisation",2020-07-26,2020-09-15,74,27,137
33,"Fundamental solution-oriented system engine",2021-06-22,2021-03-05,159,466,816
34,"Balanced holistic workforce",2021-10-15,2020-08-23,240,350,726
35,"Versatile background database",2021-01-25,2021-04-17,200,211,45
36,"Quality-focused 5th generation info-mediaries",2020-07-06,2020-04-08,420,151,381
37,"Synergized contextually-based project",2021-04-27,2021-10-25,500,308,348
38,"Robust responsive software",2021-08-09,2020-11-30,252,169,156
39,"Multi-tiered bifurcated productivity",2020-03-20,2021-05-05,383,466,938
40,"Ergonomic optimizing parallelism",2021-10-14,2020-04-11,99,7,869
41,"Reactive dynamic analyzer",2021-04-14,2020-09-15,182,407,312
42,"Total homogeneous software",2021-11-06,2020-12-12,360,29,595
43,"Stand-alone asynchronous policy",2020-02-05,2021-08-15,466,76,151
44,"Operative client-server projection",2020-09-23,2020-04-16,194,345,796
45,"Cloned background analyzer",2020-08-26,2021-02-03,292,58,996
46,"Inverse foreground circuit",2021-05-09,2021-03-21,453,484,397
47,"Inverse full-range data-warehouse",2020-03-10,2020-05-14,32,466,221
48,"Exclusive client-driven parallelism",2020-05-02,2020-02-27,64,220,348
50,"Quality-focused upward-trending application",2021-03-26,2021-05-21,307,172,583
51,"Synergized heuristic extranet",2020-10-24,2021-01-08,145,171,253
53,"Future-proofed background interface",2021-11-02,2021-04-17,132,137,9
54,"Digitized incremental infrastructure",2020-04-12,2021-08-28,322,39,864
55,"Re-engineered attitude-oriented firmware",2020-06-30,2020-10-18,307,416,975
57,"Open-architected scalable hub",2020-02-08,2021-03-29,231,59,885
58,"Operative demand-driven hub",2021-02-25,2021-01-14,274,312,393
59,"Face to face content-based support",2020-06-11,2021-04-20,357,377,605
60,"Future-proofed needs-based local area network",2021-05-02,2020-09-29,487,346,68
61,"Function-based well-modulated methodology",2021-04-29,2020-06-01,341,326,694
62,"Integrated content-based model",2021-02-09,2020-02-24,165,157,112
63,"Monitored modular success",2021-02-07,2021-01-13,196,362,591
64,"Adaptive interactive focus group",2021-02-20,2021-02-02,380,401,359
65,"Enterprise-wide bi-directional productivity",2020-06-13,2020-05-22,428,148,461
66,"Ameliorated background customer loyalty",2021-09-08,2020-11-11,486,28,266
68,"Down-sized value-added website",2020-03-06,2021-09-29,471,287,183
70,"Managed bandwidth-monitored project",2021-08-05,2020-03-03,79,1,120
71,"Adaptive multi-tasking open system",2021-05-29,2021-07-16,439,71,395
72,"Balanced stable hierarchy",2020-05-31,2020-10-23,123,124,955
73,"Seamless coherent functionalities",2020-01-12,2021-09-23,366,307,305
74,"Ergonomic discrete local area network",2020-12-11,2021-06-21,413,252,83
75,"Enhanced didactic support",2021-02-20,2021-09-14,206,248,46
76,"Progressive mobile flexibility",2021-02-07,2021-11-08,99,252,404
77,"Triple-buffered heuristic encryption",2020-08-08,2020-07-29,338,392,722
78,"Multi-channelled hybrid data-warehouse",2020-02-02,2020-09-15,423,25,993
79,"Grass-roots bifurcated throughput",2020-01-25,2021-10-20,230,201,34
80,"Re-engineered client-server orchestration",2020-08-14,2020-07-29,137,182,224
81,"Implemented fault-tolerant adapter",2020-10-05,2021-03-27,474,168,101
82,"Re-contextualized discrete methodology",2020-06-06,2021-02-26,342,469,456
83,"Reduced dedicated algorithm",2021-01-13,2021-11-08,92,19,298
84,"Configurable explicit challenge",2020-01-21,2020-03-12,25,457,466
85,"Cloned upward-trending model",2021-03-04,2021-01-25,61,74,266
86,"Grass-roots methodical projection",2020-06-22,2021-05-12,362,341,176
87,"Robust systemic middleware",2021-06-10,2021-10-16,312,477,189
89,"Switchable executive instruction set",2021-11-08,2021-06-13,401,335,22
90,"Sharable eco-centric productivity",2020-07-03,2020-05-25,418,61,107
91,"Synergized tangible collaboration",2020-03-02,2021-03-01,399,495,518
92,"Grass-roots even-keeled contingency",2020-10-31,2020-03-27,308,398,302
93,"Multi-lateral content-based instruction set",2020-08-07,2020-10-09,270,108,31
94,"Centralized well-modulated approach",2020-07-13,2020-06-25,251,167,54
95,"Secured 3rd generation alliance",2020-03-12,2021-02-20,267,231,448
96,"Reactive static framework",2020-09-29,2021-06-29,461,217,932
97,"Upgradable clear-thinking matrices",2021-05-17,2021-01-11,139,388,28
98,"Face to face systematic architecture",2021-04-01,2020-09-14,94,479,553
99,"Intuitive even-keeled monitoring",2021-09-18,2021-11-04,393,9,369
100,"Programmable system-worthy alliance",2021-03-13,2020-07-19,350,309,20
101,"Integrated zero administration help-desk",2020-06-23,2021-02-07,425,195,660
102,"Grass-roots maximized installation",2020-09-24,2021-08-30,113,196,166
103,"Programmable multimedia alliance",2020-02-09,2020-08-15,73,301,446
104,"Pre-emptive discrete throughput",2020-10-05,2021-01-09,246,454,57
105,"Ameliorated intangible product",2021-05-21,2020-08-29,465,162,862
106,"Realigned intangible synergy",2020-06-21,2020-06-01,56,492,585
107,"Public-key explicit open architecture",2021-09-07,2020-06-05,391,153,174
108,"Optimized cohesive concept",2020-04-27,2021-06-22,123,346,203
109,"Customer-focused multimedia analyzer",2020-11-07,2020-06-29,76,459,401
110,"Digitized intangible time-frame",2020-08-09,2020-08-07,450,264,150
111,"Seamless maximized model",2021-08-13,2021-06-07,410,115,140
112,"Reverse-engineered full-range parallelism",2020-08-16,2020-05-07,226,217,121
114,"Assimilated 24/7 moratorium",2020-05-25,2021-03-11,270,435,366
115,"Cross-platform high-level firmware",2020-08-18,2021-09-15,453,186,147
116,"Horizontal cohesive policy",2020-07-17,2020-05-23,142,67,326
117,"Upgradable content-based concept",2021-09-17,2021-06-22,108,259,917
118,"Down-sized motivating benchmark",2020-06-19,2021-05-02,247,98,352
119,"Exclusive dedicated groupware",2020-01-09,2020-04-21,250,5,59
120,"Pre-emptive web-enabled middleware",2021-01-22,2021-04-11,237,86,868
121,"Synergistic explicit process improvement",2021-09-09,2020-11-22,9,404,756
122,"Re-engineered asynchronous parallelism",2021-03-25,2020-06-08,360,55,947
123,"Expanded empowering alliance",2021-08-28,2020-10-23,494,162,718
124,"Implemented coherent knowledge user",2021-11-11,2020-03-13,412,382,154
125,"Up-sized optimal infrastructure",2021-06-06,2021-06-13,493,153,767
126,"Down-sized reciprocal data-warehouse",2020-01-19,2020-06-09,347,471,815
127,"Customer-focused dynamic ability",2020-10-26,2021-02-17,443,287,736
128,"Distributed holistic core",2020-05-29,2021-10-17,142,313,257
129,"Operative fault-tolerant knowledge user",2021-01-09,2021-02-11,119,68,557
130,"Multi-tiered grid-enabled customer loyalty",2021-02-09,2020-04-17,303,397,622
131,"Self-enabling responsive focus group",2020-12-15,2020-09-19,155,121,750
132,"Proactive bottom-line structure",2020-06-04,2020-11-17,160,6,941
